id,name,parentId
1,Agus,Lapu-Lapu
2,Babag,Lapu-Lapu
3,Bankal,Lapu-Lapu
4,Baring,Lapu-Lapu
5,Basak,Lapu-Lapu
6,Buaya,Lapu-Lapu
7,Calawisan,Lapu-Lapu
8,Canjulao,Lapu-Lapu
9,Caubian,Lapu-Lapu
10,Caw-Oy,Lapu-Lapu
11,Cawhagan,Lapu-Lapu
12,Gun-Ob,Lapu-Lapu
13,Ibo,Lapu-Lapu
14,Looc,Lapu-Lapu
15,Mactan,Lapu-Lapu
16,Maribago,Lapu-Lapu
17,Marigondon,Lapu-Lapu
18,Pajac,Lapu-Lapu
19,Pajo,Lapu-Lapu
20,Pangan-An,Lapu-Lapu
21,Poblacion,Lapu-Lapu
22,Punta Engano,Lapu-Lapu
23,Pusok,Lapu-Lapu
24,Sabang,Lapu-Lapu
25,San Vicente,Lapu-Lapu
26,Santa Rosa,Lapu-Lapu
27,Subabasbas,Lapu-Lapu
28,Talima,Lapu-Lapu
29,Tingo,Lapu-Lapu
30,Tungasan,Lapu-Lapu